id,hashtag,postCount,recentPostCount1h,recentPostCount6h,recentPostCount24h,trendScore,createdAt,updatedAt
ac641afd-c918-4f3f-8b87-bb5a35de5016,sell,2,0,0,0,0,2026-04-06 08:00:00.069655,2026-04-08 09:00:00.341
924de96d-1f2c-4c63-8879-8223c34c0e52,services,2,0,0,0,0,2026-04-06 08:00:00.119491,2026-04-08 09:00:00.345
e19d230d-6ac2-433b-97d7-03fac25063f6,company,1,0,0,0,0,2026-04-06 18:00:00.195619,2026-04-08 09:00:00.351
23c46087-b100-4562-a4cb-16b3d0088705,innovicglobal,1,0,0,0,0,2026-04-06 18:00:00.199629,2026-04-08 09:00:00.355
b2786234-e710-4675-a04a-5e0dfb2ae89c,computers,1,0,0,0,0,2026-04-06 18:00:00.202026,2026-04-08 09:00:00.359
fa2431f6-3ad5-4611-b57f-462b33af4d09,female,1,0,0,0,0,2026-04-06 08:00:00.080647,2026-04-08 09:00:00.372
9bcf614d-4939-484b-938d-1a4fce39fd42,need,1,0,0,0,0,2026-04-06 08:00:00.104638,2026-04-08 09:00:00.375
46cd26c1-4e76-4dfe-9861-dbae646fb63c,price,1,0,0,0,0,2026-04-06 08:00:00.125876,2026-04-08 09:00:00.38
c0e8fd06-992a-471e-8aa9-facdac00fbcb,shoes,1,0,0,0,0,2026-04-06 08:00:00.133632,2026-04-08 09:00:00.383
d8603058-6239-4bd0-b7bb-c1adadec0295,adiri,1,0,0,0,0,2026-04-06 15:30:00.27329,2026-04-08 09:00:00.397
0e01ba72-b9e4-4f88-98e0-3de075f0e329,tag,1,0,0,0,0,2026-05-12 10:00:00.648629,2026-05-12 21:30:00.747
b14332c8-b253-48e9-912e-766d15234064,fun,1,0,0,0,0,2026-05-03 11:00:00.209587,2026-05-10 10:30:00.346
12c613b7-7f24-42a6-8310-a28546f0afe8,unity,1,0,0,0,0,2026-04-28 02:30:00.210628,2026-05-05 02:00:00.583
4acae40d-df49-4b03-bb5b-a66aaea68c4b,progress,1,0,0,0,0,2026-04-28 02:30:00.214637,2026-05-05 02:00:00.588
2e20d5dd-e870-4c50-a8d6-5981489bd687,hope,1,0,0,0,0,2026-04-28 02:30:00.220659,2026-05-05 02:00:00.593
6e4079c8-9738-4014-9e90-61734ad0271c,fyp,1,0,0,0,0,2026-05-03 11:00:00.206614,2026-05-12 21:30:00.751
1d086fe7-00ff-4885-b945-9d7eb96d8667,memes,1,0,0,0,0,2026-04-10 00:30:00.297673,2026-05-07 08:00:00.428
e0191795-bd5b-4409-92a0-0e793faf1f00,beauty,2,0,0,0,0,2026-04-21 13:30:00.065928,2026-05-12 21:30:00.768
437c475e-b383-4383-a2eb-85ae4d34ceeb,hunger,1,0,0,0,0,2026-05-11 00:30:00.324613,2026-05-12 21:30:00.783
6bb178ab-030e-4ae1-a1a3-6af7fd821782,lithos,1,0,0,0,0,2026-04-28 16:30:00.326652,2026-05-08 18:00:00.38
74293432-2b69-4838-a7d1-9599a54dc9d4,tinu,1,0,0,0,0,2026-04-28 16:30:00.332712,2026-05-08 18:00:00.383
c472651c-a5af-4043-9eef-45de6d2f45e0,think,1,0,0,0,0,2026-04-06 23:00:00.10064,2026-04-08 09:00:00.267
c5f07355-cabf-4ac7-b7c3-97350e944311,comment,1,0,0,0,0,2026-04-06 19:30:00.101618,2026-04-08 09:00:00.311
eb917681-682c-4f41-b7ec-cf13ba2df2be,lawyer,1,0,0,0,0,2026-04-06 18:30:00.119114,2026-04-08 09:00:00.313
2cfbfe9b-80a8-4049-9d6c-a7118772092b,consecration,1,0,0,0,0,2026-04-06 17:30:00.27983,2026-04-08 09:00:00.364
740dc071-c935-410f-a92e-6a60067a9f97,holiness,1,0,0,0,0,2026-04-06 17:30:00.285865,2026-04-08 09:00:00.369
abca49cd-0234-4e39-970e-ab3e4a3a0a69,realityoflife,1,0,0,0,0,2026-04-07 01:00:00.222399,2026-04-08 09:00:00.389
8beba75a-79d5-48ff-aad0-fee4d39f2beb,anime,1,0,0,0,0,2026-04-06 18:30:00.061289,2026-04-08 09:00:00.393
0ac15c46-cd56-4c0c-8fc7-f381f60f6d83,sdu,1,0,0,0,0,2026-04-19 19:00:00.229633,2026-04-26 18:30:00.396
482d3ae9-57d5-40cd-b541-9d21dd9570c1,personalgrowth,1,0,0,0,0,2026-04-13 07:30:00.033845,2026-04-26 19:30:00.624
aed1b743-7bf3-42c2-a017-a880ea57994c,datarecovery,1,0,0,0,0,2026-04-10 03:30:00.229325,2026-04-10 03:30:00.225
d95ba127-59c3-4b9a-9d01-120ad3bf9615,opportunity,1,0,0,0,0,2026-04-13 07:30:00.056732,2026-04-24 21:30:00.555
04abd7fb-d3b0-4a28-b3f5-0f0a02540cba,businessmindset,1,0,0,0,0,2026-04-13 07:30:00.026805,2026-04-24 21:30:00.563
